place,location,description
Elephanta Caves,mumbai," An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline.  "
"Marine Drive, Mumbai",mumbai," Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai.  "
Juhu Beach,mumbai," The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries. "
Colaba Causeway,mumbai," One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops and old-world cafes like a magnet. "
Gateway of India,mumbai," One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way.  "
Film City Mumbai,mumbai, Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.  
Enjoy Street Food,mumbai," The food culture of Mumbai is defined by its street food. People from all economic classes eat from the roadside food stalls in Mumbai, which serve some of the best local food, even better than many restaurants. Mumbai's most famous street food includes Vada Pav, bhelpuri, panipuri, sevpuri, Bombay sandwich, ragda-pattice, pav bhaji, omlette pav and kebabs. Among the popular desserts of Mumbai are Kulfi and Ice Gola.  "
Hanging Gardens,mumbai," Marked by bushes trimmed into shapes of various animals and proximity to the Arabian Sea are the Hanging Gardens, opposite the Kamla Nehru park. Spend a relaxed evening here, enjoying the sunset, especially if you are with kids. "
Prince of Wales Museum,mumbai," The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of a plethora of ancient, exquisite artefacts relating to the rich and diverse history of India. "
Mumbai Zoo,mumbai," Popularly known as Veermata Jijabai Udhyan, the zoo is the best way to spend family holidays amidst a vast variety of birds & animals. "
Essel World,mumbai," Located on the edge of northern suburbs, Mumbai's favourite adventure and water park, Essel World and Water Kingdom are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom. "
National Museum of Indian Cinema,mumbai," The National Museum of Indian Cinema is the first museum in the country that displays the history of Indian cinema. It is housed in two buildings, New Museum Building and the heritage Gulshan Mahal on Peddar Road in Mumbai. The museum showcases history of Indian Cinema through recordings, memorabilia, cameras, equipment and much more. "
Sanjay Gandhi National Park,mumbai," This is a wildlife sanctuary and a habitat to abundance of flora and fauna, in the midst of a busy Mumbai. Famed to be one the most liked national parks, one can also enjoy a train ride through this one.



One can spot here Leopards, Macaques, Boars, Lions, Flying fox, Kingfisher, Sunbird and many more. A must visit attraction of the city, the park is also known for a huge population and variety of butterflies. "
Siddhivinayak Temple,mumbai," Located in Prabhadevi, Siddhivinayak is a Lord Ganesha temple, one of the most significant and frequented temples in Mumbai. Visitors visit this temple in large numbers on daily basis. It is one of the richest temples in Mumbai. The wooden doors to the sanctum are carved with images of the Lord. The inner roof which is plated with gold has the central sculpture of Ganesha. "
"National Gallery of Modern Art, Mumbai",mumbai," Situated in Colaba, Southern Mumbai, the National Gallery of Modern Art was established in 1996, with an objective to promote modern trends in the Indian culture. Initially a concert venue, the structure was later converted into an art gallery in 1954. The gallery boasts of its display of artworks from Indian as well as international artists ranging from M.F. Hussain, F.N. Souza, Amrita Shergil, Gaganendranath Tagore to Picasso. "
Haji Ali Dargah,mumbai," Situated at the backdrop of a beautiful view of the sea is the shrine of Haji Ali, a wealthy merchant turned into Muslim Sufi. People from all walks of life and religions come here to seek blessings. "
"Fashion Street, Mumbai",mumbai," One of the favourite shopping hubs for the people of Mumbai especially the students, the place offers some of the trendiest and latest fashion clothes.  "
Bandra Worli Sea Link,mumbai," Spanning across the arc of Mumbai coastline, this is an eight-lane cable-stayed bridge in Mumbai. Officially known as Rajiv Gandhi Sea Link, it is a civil engineering wonder that reflects the modern infrastructure of the city of Mumbai. "
Chhatrapati Shivaji Terminus,mumbai," Also known as Chhatrapati Shivaji Maharaj Terminus, the Victoria Terminus is the main railway station serving Mumbai. Constructed in the Victorian-Gothic style of architecture, the railway station is a declared as a World Heritage Site by the UNESCO. The station is one of the most famous historic landmark symbolizing the pre-independence British Raj in India. "
Kamala Nehru Park,mumbai," Named after the first wife of the late Prime Minister of India, Sri Pandit Jawaharlal Nehru, it is family spot for outings. Enjoy the view of Marine drive and the Chowpatty beach from here. "
KidZania Mumbai,mumbai," Kidzania is an indoor theme cum educational park for kids located in Ghatkopar West in Mumbai. There are no video games or any new age games, instead the entire space is setup in form of a mock city with real life professions for children to take up. The mock city has battery operated cars and tiny shops and clinics etc. The objective of the park is to educate, inspire and teach kids about real life in a fun and games way.  "
